Timestamp,"PARTsDrivetrain/align/Goal/rangeControllerX","PARTsDrivetrain/align/Goal/rangeControllerYGoal","PARTsDrivetrain/align/Goal/thetaController","PARTsDrivetrain/align/Output/PosErrorX","PARTsDrivetrain/align/Output/PosErrorY","PARTsDrivetrain/align/Output/rangeControllerX","PARTsDrivetrain/align/Output/rangeControllerY","PARTsDrivetrain/align/Output/thetaController","PARTsDrivetrain/align/Output/thetaPosError","PARTsDrivetrain/align/Output/thetaVelocityError","PARTsDrivetrain/align/Output/velocityErrorX","PARTsDrivetrain/align/Output/velocityErrorY","PARTsDrivetrain/align/llPoseRot","PARTsDrivetrain/align/llPoseX","PARTsDrivetrain/align/llPoseY","PARTsDrivetrain/align/rPoseRot","PARTsDrivetrain/align/rPoseX","PARTsDrivetrain/align/rPoseY"
28.767645,,,,,,,,,,,,,,-1.587444013695877
28.767831,,,,,,,,,,,,,,,0.07213434115139315
28.768202,,,,,,,,,,,,,0.828576143186079
28.772246,,,,,,,,,,,,,,,,,-1.587444013695877
28.772394,,,,,,,,,,,,,,,,,,0.07213434115139315
28.772839,,,,,,,,,,,,,,,,0.8285754753931078
28.776011,,,,,,,,207.63280862318314
28.776216,,,,,,0.0021002399999997686
28.777477,,,,,,,-0.002100239999999963
28.800293,,,false
28.800813,false
28.801796,,false
28.805654,,,,0.00029999999999996696
28.808307,,,,,-0.0002999999999999947
28.809865,,,,,,,,,0.8427226979298219
28.811442,,,,,,,,,,,0.014999999999998348
28.812444,,,,,,,,,,,,-0.014999999999999736
28.812629,,,,,,,,,,42.13613489649109
